ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDLCPO25N000128146,장소,문화시설,23717748,GS25,통영죽림센터점,,90702,GS25,4.82203e+18,경상남도,통영시,광도면,죽림리,1580,4822034024,4822034000,482203000000.0,죽림2로,Jul-76,128.4211733,34.8793991,라라841542,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128147,장소,문화시설,23717749,GS25,통영통큰낚시점,,90702,GS25,4.82203e+18,경상남도,통영시,산양읍,남평리,1315-4,4822025026,4822025000,482203000000.0,산양일주로,1771,128.3871403,34.8118782,라라811467,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128148,장소,문화시설,23717750,GS25,하동제일점,,90702,GS25,4.88504e+18,경상남도,하동군,금남면,중평리,774-1,4885036022,4885036000,488503000000.0,경충로,451,127.8945889,34.9794299,라라360650,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128149,장소,문화시설,23717751,GS25,하동화개장터점,,90702,GS25,4.88503e+18,경상남도,하동군,화개면,탑리,735-2,4885031023,4885031000,488503000000.0,쌍계로,14,127.624898,35.1881714,라라113881,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128165,장소,문화시설,23719325,이마트24,사직라라하늘채점,,90710,이마트24,2.62601e+18,부산광역시,동래구,사직동,,1061,2626010900,2626057000,262604000000.0,사직북로48번길,77,129.0619444,35.2030384,마라421908,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128172,장소,문화시설,23724268,CU,초읍하늘채점,,90704,CU,2.62301e+18,부산광역시,부산진구,초읍동,,175-18,2623010700,2623055000,262303000000.0,성지로,123,129.0506524,35.1805082,마라411883,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128185,장소,문화시설,23724281,CU,울산매곡메르디앙점,,90704,CU,3.12001e+18,울산광역시,북구,매곡동,,864,3120010300,3120051000,312003000000.0,매산로,65,129.3603083,35.6406941,마마684398,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128188,장소,문화시설,23724284,CU,마산회원아람점,,90704,CU,4.81271e+18,경상남도,창원시마산회원구,회원동,,666-15,4812710800,4812752000,481275000000.0,회원북26길,61,128.5647696,35.2192429,라라969920,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128193,장소,문화시설,23724289,CU,사천옥성그린점,,90704,CU,4.82403e+18,경상남도,사천시,사천읍,구암리,1440-1,4824025028,4824025000,482403000000.0,두량로,01월 30일,128.0992894,35.0923173,라라546776,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128214,장소,문화시설,23724310,CU,서구한맥빌딩점,,90704,CU,2.61401e+18,부산광역시,서구,암남동,,620-29,2614012400,2614068000,261403000000.0,원양로,105,129.0127149,35.0626146,마라379752,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128219,장소,문화시설,23724315,CU,동래여고점,,90704,CU,2.64101e+18,부산광역시,금정구,부곡동,,67,2641010900,2641059000,264103000000.0,체육공원로,20,129.0946743,35.2443915,마라450954,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128232,장소,문화시설,23724328,CU,거제제일점,,90704,CU,4.83103e+18,경상남도,거제시,거제면,서정리,757-3,4831034026,4831034000,483103000000.0,읍내로,Jan-67,128.5886265,34.8500079,라라995511,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128235,장소,문화시설,23724331,CU,장유한라비발디점,,90704,CU,4.82501e+18,경상남도,김해시,내덕동,,01월 13일,4825012400,4825061000,482503000000.0,신내덕로,52,128.8262586,35.2097604,마라207912,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128238,장소,문화시설,23724334,CU,센텀드파인점,,90704,CU,2.63501e+18,부산광역시,해운대구,반여동,,1349,2635010300,2635057000,263503000000.0,선수촌로,30,129.1203276,35.1958878,마라475901,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128239,장소,문화시설,23724335,CU,해운대경동2차점,,90704,CU,2.63501e+18,부산광역시,해운대구,우동,,1565,2635010500,2635051000,263503000000.0,구남로,21,129.1609162,35.1632051,마라512865,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128251,장소,문화시설,23724347,CU,송정메르드로브점,,90704,CU,2.63501e+18,부산광역시,해운대구,송정동,,444-7,2635010800,2635056000,263503000000.0,송정광어골로,80,129.1960096,35.1745295,마라544879,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128272,장소,문화시설,23724369,CU,김해국내선점,,90704,CU,2.64401e+18,부산광역시,강서구,대저2동,,Aug-79,2644010200,2644052000,,,,128.9494275,35.1704186,마라319870,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128273,장소,문화시설,23724370,CU,김해국제선점,,90704,CU,2.64401e+18,부산광역시,강서구,대저2동,,Jan-50,2644010200,2644052000,264403000000.0,공항진입로,108,128.9466601,35.1719827,마라317872,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128275,장소,문화시설,23724372,CU,창원대원에뜰점,,90704,CU,4.81231e+18,경상남도,창원시성산구,대원동,,07월 03일,4812313700,4812352000,481233000000.0,대원로,80,128.6527294,35.2344054,마라048938,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128276,장소,문화시설,23724372,CU,창원대원에뜰점,,90704,CU,4.81231e+18,경상남도,창원시성산구,대원동,,07월 03일,4812313700,4812352000,481233000000.0,대원로,80,128.6527294,35.2344054,마라048938,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
KCDLCPO25N000128288,장소,문화시설,23724384,CU,연제세병로점,,90704,CU,2.64701e+18,부산광역시,연제구,거제동,,1466-17,2647010100,2647061000,264703000000.0,세병로,68,129.0834937,35.1938687,마라441898,20251017,맵퍼스,KC_492_DMSTC_MCST_LVLH_CVNTL_2025,20250822
