DAN_ID,DAN_NAME,SIGUNGU_CD,SIGUNGU_NM,TYPE,환경오염물질_배출사업장수,낙후도지수,공항거리,항만거리,고속도로거리,화물역거리,univ_count,연구소전담부서,mart_count,store_count,hospital_count,pharmacy_count,subway_count,bus_count,BUFFER_M,낙후도지수_norm,공항거리_norm,항만거리_norm,고속도로거리_norm,화물역거리_norm,환경오염물질_배출사업장수_norm,연구소전담부서_norm,mart_count_norm,bus_count_norm,hospital_count_norm,pharmacy_count_norm,subway_count_norm,store_count_norm,univ_count_norm
226080,부산장안,21510,기장군,군,501,0.555,30.15413689,18.56327038,2.458881728,13.30912666,0.0,243,3.0,46.0,2.0,13.0,3.0,428,7000,0.16461538461538458,0.6031608767504151,0.8051855595675347,0.9161751780326446,0.8631404767509826,0.08119494446572195,0.23414634146341462,0.12,0.4136460554371002,0.1,0.07303370786516854,0.23076923076923078,0.15181518151815182,0.0
226190,정관코리,21510,기장군,군,501,0.555,28.92341104,23.3558328,2.810650945,17.40569079,0.0,243,5.0,103.0,5.0,38.0,3.0,661,7000,0.16461538461538458,0.6197029663134785,0.7518918590591743,0.9025520483778134,0.8195394327447906,0.08119494446572195,0.23414634146341462,0.2,0.662046908315565,0.25,0.21348314606741572,0.23076923076923078,0.33993399339933994,0.0
226070,기룡,21510,기장군,군,501,0.555,27.36263461,17.00775051,4.080246156,11.42740223,0.0,243,4.0,62.0,2.0,21.0,3.0,396,7000,0.16461538461538458,0.6406812398201077,0.8224830724263414,0.8533838456677799,0.8831682725028234,0.08119494446572195,0.23414634146341462,0.16,0.37953091684434964,0.1,0.11797752808988764,0.23076923076923078,0.20462046204620463,0.0
226110,기룡2,21510,기장군,군,501,0.555,27.09247117,16.75303213,4.35635942,11.16345767,0.0,243,4.0,62.0,2.0,21.0,4.0,395,7000,0.16461538461538458,0.6443124854148479,0.8253155624114576,0.842690679202078,0.8859775189861085,0.08119494446572195,0.23414634146341462,0.16,0.3784648187633262,0.1,0.11797752808988764,0.3076923076923077,0.20462046204620463,0.0
226120,명례,21510,기장군,군,501,0.555,26.32570962,16.43827575,4.802908116,10.77887133,0.0,243,4.0,58.0,3.0,20.0,4.0,388,7000,0.16461538461538458,0.6546184672333116,0.8288156800476544,0.8253969806951851,0.8900707945708167,0.08119494446572195,0.23414634146341462,0.16,0.371002132196162,0.15000000000000002,0.11235955056179775,0.3076923076923077,0.19141914191419143,0.0
426010,정관,21510,기장군,군,501,0.555,28.49701434,23.69079258,3.679307418,16.42550866,0.0,243,6.0,94.0,3.0,42.0,1.0,657,7000,0.16461538461538458,0.625434130894766,0.7481670779017772,0.8689111861724449,0.8299718250686996,0.08119494446572195,0.23414634146341462,0.24,0.6577825159914712,0.15000000000000002,0.23595505617977527,0.07692307692307693,0.3102310231023102,0.0
226230,동남권방사선,21510,기장군,군,501,0.555,31.35601664,20.03658646,1.270291262,14.74507874,0.0,243,5.0,86.0,5.0,31.0,4.0,558,7000,0.16461538461538458,0.5870065053536232,0.7888021598242151,0.9622062724044248,0.8478571788837861,0.08119494446572195,0.23414634146341462,0.2,0.5522388059701493,0.25,0.1741573033707865,0.3076923076923077,0.2838283828382838,0.0
226170,동부산E-PARK,21510,기장군,군,501,0.555,26.58841504,16.06829375,4.941267503,10.48961916,0.0,243,4.0,62.0,2.0,20.0,4.0,409,7000,0.16461538461538458,0.6510874643000896,0.8329299112612533,0.8200386725289991,0.8931493980523779,0.08119494446572195,0.23414634146341462,0.16,0.39339019189765456,0.1,0.11235955056179775,0.3076923076923077,0.20462046204620463,0.0
231060,울산 High Tech Valley,26510,울주군,군,978,0.39,25.44905016,30.3450642,2.555812441,22.18396487,0.0,386,1.0,60.0,3.0,23.0,0.0,492,7000,0.2915384615384615,0.6664015782353491,0.6741710132208789,0.9124212973434931,0.768682731415492,0.17253925698965913,0.37365853658536585,0.04,0.48187633262260127,0.15000000000000002,0.1292134831460674,0.0,0.19801980198019803,0.0
231040,길천,26510,울주군,군,978,0.39,24.84086459,34.244192,5.883664071,25.87028071,8.0,386,1.0,50.0,4.0,22.0,0.0,375,7000,0.2915384615384615,0.6745761527516013,0.6308123814480615,0.7835420434560465,0.7294480913463852,0.17253925698965913,0.37365853658536585,0.04,0.3571428571428571,0.2,0.12359550561797752,0.0,0.16501650165016502,0.3333333333333333
131010,온산,26510,울주군,군,978,0.39,18.02303062,5.78450822,7.795526732,0.450402137,0.0,386,1.0,86.0,0.0,24.0,2.0,292,7000,0.2915384615384615,0.7662141240819644,0.9472864783955484,0.7095004512577345,1.0,0.17253925698965913,0.37365853658536585,0.04,0.26865671641791045,0.0,0.1348314606741573,0.15384615384615385,0.2838283828382838,0.0
231030,신,26510,울주군,군,978,0.39,13.48404578,7.230426414,4.605963116,0.998925266,8.0,386,4.0,157.0,2.0,43.0,3.0,516,7000,0.2915384615384615,0.8272222630990067,0.9312077454678247,0.8330241610742763,0.9941618926673697,0.17253925698965913,0.37365853658536585,0.16,0.5074626865671642,0.1,0.24157303370786515,0.23076923076923078,0.5181518151815182,0.3333333333333333
231120,와지,26510,울주군,군,978,0.39,24.40162618,22.5421992,8.794263171,15.42331864,8.0,386,3.0,94.0,4.0,28.0,0.0,585,7000,0.2915384615384615,0.6804799217491873,0.7609395336853797,0.6708219218641253,0.8406384544141521,0.17253925698965913,0.37365853658536585,0.12,0.5810234541577826,0.2,0.15730337078651685,0.0,0.3102310231023102,0.3333333333333333
431040,상북,26510,울주군,군,978,0.39,25.20733674,34.94557143,6.664952594,26.41126538,0.0,386,1.0,40.0,4.0,22.0,0.0,321,7000,0.2915384615384615,0.6696504293440134,0.6230129827111444,0.7532847203808994,0.723690218247168,0.17253925698965913,0.37365853658536585,0.04,0.2995735607675906,0.2,0.12359550561797752,0.0,0.132013201320132,0.0
431020,두동,26510,울주군,군,978,0.39,18.0614517,30.94625731,1.535793195,22.6484599,4.0,386,0.0,4.0,0.0,0.0,0.0,120,7000,0.2915384615384615,0.7656977093609527,0.6674856948579247,0.9519240558770267,0.7637389620514596,0.17253925698965913,0.37365853658536585,0.0,0.08528784648187634,0.0,0.0,0.0,0.013201320132013201,0.16666666666666666
431030,두서,26510,울주군,군,978,0.39,18.36903573,31.02159537,5.009665126,21.86975,4.0,386,0.0,8.0,0.0,0.0,0.0,212,7000,0.2915384615384615,0.7615634965527729,0.6666479292422354,0.8173898060529673,0.7720270209077378,0.17253925698965913,0.37365853658536585,0.0,0.18336886993603413,0.0,0.0,0.0,0.026402640264026403,0.16666666666666666
231230,울산청양,26510,울주군,군,978,0.39,16.36964238,8.678887339,4.042107844,3.15853995,8.0,386,1.0,100.0,0.0,26.0,4.0,409,7000,0.2915384615384615,0.7884371856586722,0.9151007371557633,0.8548608457692197,0.9711764219447369,0.17253925698965913,0.37365853658536585,0.04,0.39339019189765456,0.0,0.14606741573033707,0.3076923076923077,0.33003300330033003,0.3333333333333333
231090,KCC울산,26510,울주군,군,978,0.39,18.6875165,31.56532054,1.517133836,22.95125433,0.0,386,0.0,6.0,0.0,0.0,0.0,139,7000,0.2915384615384615,0.7572828215174241,0.6606016592452266,0.95264668552922,0.7605162239596579,0.17253925698965913,0.37365853658536585,0.0,0.10554371002132196,0.0,0.0,0.0,0.019801980198019802,0.0
231080,봉계,26510,울주군,군,978,0.39,18.29648562,31.17561584,1.439674112,22.93445051,0.0,386,0.0,4.0,0.0,0.0,0.0,110,7000,0.2915384615384615,0.7625386368875844,0.6649352085552638,0.9556465041946476,0.7606950723975296,0.17253925698965913,0.37365853658536585,0.0,0.07462686567164178,0.0,0.0,0.0,0.013201320132013201,0.0
