DAN_ID,DAN_NAME,SIGUNGU_CD,SIGUNGU_NM,TYPE,환경오염물질_배출사업장수,낙후도지수,공항거리,항만거리,고속도로거리,화물역거리,univ_count,연구소전담부서,mart_count,store_count,hospital_count,pharmacy_count,subway_count,bus_count,BUFFER_M
248AM0,AM하이테크,38070,김해시,시,5299,0.476,16.20542275,14.11733984,2.383734501,10.55649778,,1028,1,57,1,20,,230,5000
448550,본산,38070,김해시,시,5299,0.476,22.73219496,22.55343684,2.616247395,4.245736357,9,1028,3,80,2,26,,428,5000
248010,덕암,38070,김해시,시,5299,0.476,14.10494482,18.72220978,4.226605311,7.44304923,,1028,3,116,5,31,3,474,5000
248920,김해사이언스파크,38070,김해시,시,5299,0.476,16.61704094,20.94262039,1.104224896,4.275268261,5,1028,2,34,,1,,224,5000
248B60,하계,38070,김해시,시,5299,0.476,22.61197898,17.78690079,0.434337236,8.552040615,14,1028,4,99,2,30,,452,5000
248640,김해명동,38070,김해시,시,5299,0.476,17.68789001,21.01823926,1.176829463,3.644318623,14,1028,2,36,,1,,254,5000
248A50,병동,38070,김해시,시,5299,0.476,17.98086862,20.76193386,1.616397462,3.762098201,,1028,2,37,,1,,270,5000
248AK0,이지(Eco-Zone),38070,김해시,시,5299,0.476,10.40673376,17.51720521,0.94331255,11.45192537,,1028,15,243,20,116,7,902,5000
248AX0,원지,38070,김해시,시,5299,0.476,12.91391545,19.48433628,4.132779779,7.94876623,,1028,8,168,13,66,5,628,5000
248240,김해GoldenRoot,38070,김해시,시,5299,0.476,10.84500338,16.10944829,1.9463303,11.0900248,,1028,12,216,15,87,3,845,5000
248960,신천,38070,김해시,시,5299,0.476,14.25091995,20.77951345,3.084632405,6.219509345,,1028,4,110,5,36,3,457,5000
248AT0,김해대동첨단,38070,김해시,시,5299,0.476,11.54508678,22.18881048,0.787963049,4.518254402,,1028,4,88,3,52,6,457,5000
248120,사포,38080,밀양시,시,586,-0.18,36.79071989,35.05554371,6.16693141,3.563746634,,94,3,66,7,34,,270,5000
148090,밀양나노,38080,밀양시,시,586,-0.18,39.64285638,37.91238093,4.830764392,4.22926397,,94,3,71,7,33,,306,5000
248AI0,용전3,38080,밀양시,시,586,-0.18,29.50780151,36.53129818,10.34755215,7.49041234,,94,,11,,4,,108,5000
448640,제대,38080,밀양시,시,586,-0.18,38.96872282,36.63811094,4.474005362,4.363697362,,94,3,69,7,33,,292,5000
448090,상남특별,38080,밀양시,시,586,-0.18,30.92246828,32.27481915,11.16689844,5.89207569,,94,,7,,2,,109,5000
448110,하남,38080,밀양시,시,586,-0.18,30.25413379,27.18856678,10.73151185,10.12710914,,94,,7,1,5,,120,5000
448800,대미,38080,밀양시,시,586,-0.18,28.50343641,34.16783373,11.62552245,7.58919142,,94,,14,,5,,127,5000
448700,춘화,38080,밀양시,시,586,-0.18,40.83917242,41.37507959,5.457803039,7.443480646,,94,1,41,2,15,,234,5000
248310,용전,38080,밀양시,시,586,-0.18,28.68215595,35.24960397,11.20211997,7.771104893,,94,,12,,4,,116,5000
448780,미전,38080,밀양시,시,586,-0.18,27.8083222,33.25047383,12.4128031,8.231798399,,94,,12,,5,,134,5000
448100,초동특별,38080,밀양시,시,586,-0.18,37.00511585,27.91693387,8.90403475,12.00484443,,94,,2,,,,77,5000
248380,밀양하남,38080,밀양시,시,586,-0.18,30.29286188,26.82288527,10.64555993,10.20460168,,94,,7,1,5,,137,5000
448080,부북특별,38080,밀양시,시,586,-0.18,40.6433514,39.71141304,5.070826023,4.675093199,,94,3,70,7,32,,322,5000
248410,덕계,38100,양산시,시,1556,0.39,29.2171985,23.64637673,6.987865736,15.19450759,,433,4,96,4,46,,586,5000
248220,산막,38100,양산시,시,1556,0.39,23.86782815,32.40087344,1.658770159,7.860080704,,433,5,87,4,37,1,344,5000
248A90,양산석계2,38100,양산시,시,1556,0.39,28.71530785,30.81844475,4.300295554,12.66475325,1,433,,15,,5,,165,5000
248040,양산,38100,양산시,시,1556,0.39,22.51747721,32.22211787,2.115726962,6.547087735,,433,5,135,9,67,2,404,5000
448150,웅상,38100,양산시,시,1556,0.39,29.1206697,24.190294,8.239659087,14.66303664,,433,3,89,3,34,,518,5000
248A30,양산용당,38100,양산시,시,1556,0.39,22.83838059,19.57305594,6.570406427,12.76217339,7,433,2,65,2,18,,423,5000
248050,어곡,38100,양산시,시,1556,0.39,23.09305022,33.39668171,3.038246328,7.482425556,8,433,5,91,4,41,1,351,5000
248980,토정,38100,양산시,시,1556,0.39,22.28645023,32.57312534,3.272690188,6.653224773,,433,5,133,9,68,2,420,5000
248A80,서창,38100,양산시,시,1556,0.39,25.55496503,22.88620917,9.53409393,16.07124756,,433,3,75,2,20,,479,5000
248660,덕계경동스마트밸리,38100,양산시,시,1556,0.39,28.6990025,24.63983558,8.480115428,14.2128089,,433,3,84,3,34,,524,5000
248500,양산유산,38100,양산시,시,1556,0.39,21.85598467,31.76377988,2.88331046,5.961874143,5,433,5,147,11,74,2,448,5000
248700,어곡2,38100,양산시,시,1556,0.39,24.17650019,34.80628492,3.977298086,8.864858215,6,433,1,38,2,12,,211,5000
248AV0,가산,38100,양산시,시,1556,0.39,14.99583958,24.36160949,1.650739406,1.669930265,1,433,6,167,14,89,7,460,5000
248150,창원죽곡,38115,창원시 진해구,구,609,0.494,21.03275197,3.46008954,12.4295324,9.480474098,,1001,1,16,,10,,120,3000
248170,남양,38115,창원시 진해구,구,609,0.494,16.18335498,6.616867957,9.438997188,6.235198404,,1001,1,29,,6,,104,3000
248070,마천,38115,창원시 진해구,구,609,0.494,15.42161053,6.782065645,9.098094033,5.448949946,,1001,,41,1,12,,106,3000
248A70,안골,38115,창원시 진해구,구,609,0.494,16.51466493,3.876293713,12.05525826,3.284406131,,1001,,72,3,20,,202,3000
248AH0,창원죽곡2,38115,창원시 진해구,구,609,0.494,21.30660199,3.588244417,12.85354219,9.326779321,,1001,1,12,,9,,107,3000
12601B,녹산(주거),38115,창원시 진해구,구,609,0.494,14.64870589,5.75742895,10.45313955,3.446002301,,1001,,76,3,20,,273,3000
331010,울산장현,26010,중구,구,77,0.684,0.629440786,13.32822472,6.009339553,5.865391467,1,87,7,73,4,32,,277,3000
231180,울산테크노,26020,남구,구,221,0.684,10.37902767,11.83070814,3.950990507,4.242721088,4,209,3,79,3,37,2,228,3000
131020,울산·미포,26020,남구,구,221,0.684,8.140647728,9.06221876,8.284598891,2.287751361,,209,7,94,3,30,1,195,3000
431010,달천,26040,북구,구,209,0.684,5.983898287,18.75955717,3.458935866,11.37380177,1,160,,17,1,9,,103,3000
231070,이화,26040,북구,구,209,0.684,8.547928968,19.72906646,7.42623682,14.41010687,,160,,16,,3,,58,3000
231020,모듈화,26040,북구,구,209,0.684,3.459691867,9.460213425,9.806027349,3.879480184,,160,7,68,4,26,,188,3000
231200,모바일테크밸리,26040,북구,구,209,0.684,5.69097811,18.4195748,3.719107086,11.16937667,,160,,24,3,13,,112,3000
231150,매곡2,26040,북구,구,209,0.684,6.545967304,17.31098469,8.026307352,12.34682668,,160,,50,4,23,,124,3000
231050,중산,26040,북구,구,209,0.684,6.694734527,17.79296101,7.631882089,12.53900053,,160,,53,5,25,,140,3000
231160,매곡3,26040,북구,구,209,0.684,5.351927282,15.97981895,7.865920747,11.07794664,,160,,55,5,29,,139,3000
231170,중산2,26040,북구,구,209,0.684,7.686773778,18.8581543,7.908548302,13.54552103,,160,,30,1,9,,101,3000
231010,매곡,26040,북구,구,209,0.684,6.011355604,16.7678264,7.874138733,11.79335516,,160,,58,5,30,,137,3000
248140,정촌,38030,진주시,시,870,0.137,5.025830272,23.51960827,1.278953747,50.31073285,,263,3,78,1,21,,313,5000
248090,진주(사봉),38030,진주시,시,870,0.137,21.85961143,27.00410334,4.23059819,33.39522269,11,263,,5,,4,,201,5000
148081,경남항공(진주),38030,진주시,시,870,0.137,4.555701644,23.50166141,0.848257446,51.21364051,11,263,3,84,1,23,,312,5000
248570,진주가산,38030,진주시,시,870,0.137,23.50451089,23.5609413,9.414879794,30.81982638,,263,,2,,4,,122,5000
448610,실크전문,38030,진주시,시,870,0.137,11.95300858,28.49182963,1.5896449,43.71760448,,263,2,55,2,19,,265,5000
448190,진성,38030,진주시,시,870,0.137,16.76893714,32.0396076,1.65571701,38.99054105,,263,,1,,1,,135,5000
248060,진주상평,38030,진주시,시,870,0.137,10.95326818,29.48774749,1.481460487,47.40488745,1,263,20,255,17,135,,571,5000
448180,이반성,38030,진주시,시,870,0.137,23.9972087,23.02453354,9.846984379,30.33838563,24,263,,,,2,,118,5000
448170,사봉,38030,진주시,시,870,0.137,22.92761379,26.64143658,3.015592069,32.77609746,,263,,5,,4,,187,5000
448590,생물산업전문,38030,진주시,시,870,0.137,11.38757742,27.92181118,1.963315423,44.11814359,,263,2,57,2,20,,280,5000
248AB0,진주뿌리,38030,진주시,시,870,0.137,4.292104709,22.29181515,1.330537844,50.38077774,,263,4,77,2,23,,300,5000
248730,지수,38030,진주시,시,870,0.137,23.7699197,29.04265729,1.340983616,34.40950786,,263,,2,,,,150,5000
448160,대곡,38030,진주시,시,870,0.137,21.36249791,36.63373395,8.278312692,41.67982594,,263,,2,,1,,143,5000
148010,안정,38050,통영시,시,316,0,35.13439371,13.6874084,3.679314107,36.67134145,,17,,10,,1,,116,5000
248520,법송동원,38050,통영시,시,316,0,34.5654452,9.303279403,4.079540329,43.76017432,,17,3,27,,7,,186,5000
248AA0,법송2,38050,통영시,시,316,0,34.7103657,8.986965077,4.43348674,44.54972967,,17,3,19,,6,,181,5000
248022,사천1(외국인),38060,사천시,시,531,-0.059,2.926221287,16.88554643,2.899905855,56.2487674,1,77,2,65,2,16,,269,5000
248AZ0,용당(항공MRO),38060,사천시,시,531,-0.059,0.973505723,18.49772748,2.740117876,54.50472104,1,77,2,68,2,16,,293,5000
248970,종포,38060,사천시,시,531,-0.059,7.055242242,13.32902255,6.459582551,58.92982962,,77,,18,,1,,178,5000
248021,사천1(산업),38060,사천시,시,531,-0.059,2.334102923,17.51441941,2.375514497,56.0057544,,77,2,65,2,16,,280,5000
448130,사남,38060,사천시,시,531,-0.059,2.406755867,17.06566511,3.380323506,55.07313123,,77,2,66,2,16,,279,5000
248030,사천2,38060,사천시,시,531,-0.059,4.148174777,16.4374794,3.23818267,57.68121436,,77,2,49,1,13,,230,5000
448520,두량전문,38060,사천시,시,531,-0.059,4.263630776,21.21916217,2.496063501,50.07286685,,77,4,50,2,17,,261,5000
248780,축동,38060,사천시,시,531,-0.059,3.286513616,22.52087987,0.915909879,52.38067825,,77,4,76,2,20,,298,5000
248790,대동,38060,사천시,시,531,-0.059,3.439712107,22.53887772,0.560604092,52.03144634,,77,4,83,2,23,,308,5000
248AE0,금진,38060,사천시,시,531,-0.059,14.49652625,19.34790359,2.149677986,68.6997872,,77,,11,,7,,71,5000
248420,흥사,38060,사천시,시,531,-0.059,5.766917043,22.23161917,3.560401863,59.11123299,,77,,3,,2,,150,5000
248AD0,대진,38060,사천시,시,531,-0.059,8.071787451,16.54159887,3.22896759,62.01954983,,77,,8,,5,,132,5000
448140,송포,38060,사천시,시,531,-0.059,12.77032014,7.316248293,12.10882513,60.79713984,,77,5,27,1,13,,154,5000
148082,경남항공(사천),38060,사천시,시,531,-0.059,6.644832084,13.51913946,6.174152816,58.4575017,,77,,24,,1,,188,5000
448120,곤양,38060,사천시,시,531,-0.059,11.38235966,19.93762838,1.396216036,65.70424174,,77,,3,,3,,82,5000
448710,향촌삽재,38060,사천시,시,531,-0.059,17.74421878,2.914530414,18.22791168,59.12799151,,77,7,50,2,25,,229,5000
448660,축동구호,38060,사천시,시,531,-0.059,2.284320673,20.67842026,1.221958341,56.0073067,,77,2,56,2,15,,263,5000
248AN0,향촌2,38060,사천시,시,531,-0.059,18.75573485,2.257621762,19.19582226,59.79253509,,77,7,50,2,25,,227,5000
248B70,사천서부,38060,사천시,시,531,-0.059,11.47009451,19.15221366,1.496616901,65.76074801,,77,,5,,3,,84,5000
248020,사천1,38060,사천시,시,531,-0.059,2.355948496,17.31884661,2.692752358,55.76463973,10,77,2,65,2,16,,277,5000
148080,경남항공,38060,사천시,시,531,-0.059,6.303469996,13.93238091,5.769294079,58.40297415,10,77,,29,,1,,185,5000
148030,죽도,38090,거제시,시,276,0.012,43.67073788,1.589737594,14.40267628,26.11184712,,44,8,126,6,47,,298,5000
448600,한내조선특화,38090,거제시,시,276,0.012,41.38240187,1.768145015,15.65573417,23.96751143,,44,,40,,4,,128,5000
248100,오비,38090,거제시,시,276,0.012,41.32892425,1.750040734,16.61295127,23.76153663,,44,8,121,6,47,,301,5000
248750,모사,38090,거제시,시,276,0.012,41.10145807,2.450430535,15.79874014,23.74283731,,44,,7,,,,80,5000
248A20,오비2,38090,거제시,시,276,0.012,41.73143715,1.226697118,16.09973008,24.1765174,,44,8,124,6,46,,301,5000
248A60,덕곡,38090,거제시,시,276,0.012,38.5784984,5.146506916,18.15272145,21.3877577,,44,,7,,,,125,5000
148050,지세포자원비축,38090,거제시,시,276,0.012,45.46953668,6.073863619,26.11587048,29.06966465,1,44,,16,,2,,75,5000
148020,옥포,38090,거제시,시,276,0.012,39.57117702,1.044119764,24.00938806,22.48608441,1,44,8,113,2,26,,209,5000
248B30,창원덕산,38111,창원시 의창구,구,304,0.494,26.77240552,13.08773927,2.239937281,4.588710837,,1001,3,50,,22,,121,3000
248210,창원,38111,창원시 의창구,구,304,0.494,27.88291811,20.7174607,6.099796995,9.750609287,,1001,,11,,3,,132,3000
248A00,동전,38111,창원시 의창구,구,304,0.494,33.93749854,15.57165396,3.268843125,9.735361081,,1001,,23,1,10,,117,3000
248680,천선,38112,창원시 성산구,구,406,0.494,21.07610548,6.896360618,8.696256294,8.072261992,,1001,4,76,1,29,,183,3000
248800,창곡,38112,창원시 성산구,구,406,0.494,26.37184337,7.593183268,7.037549198,3.291101871,2,1001,2,83,2,6,,136,3000
148060,창원,38112,창원시 성산구,구,406,0.494,26.37416325,8.681655949,6.039254592,1.798656132,,1001,25,240,13,63,,300,3000
248AJ0,상복,38112,창원시 성산구,구,406,0.494,26.08084419,7.7932676,7.338131628,3.522143558,,1001,2,98,3,6,,134,3000
348010,창원덴소,38113,창원시 마산합포구,구,507,0.494,35.27257126,2.955461913,8.523765507,11.54761772,7,1001,6,59,2,21,,137,3000
248460,진전평암,38113,창원시 마산합포구,구,507,0.494,30.00517526,16.93131715,13.66894236,24.49371042,,1001,,,,,,40,3000
448070,진북,38113,창원시 마산합포구,구,507,0.494,37.686768,9.544921674,12.82487189,17.8567965,,1001,,12,,1,,72,3000
248110,진북,38113,창원시 마산합포구,구,507,0.494,37.78080687,9.731243042,13.36755759,18.16067921,,1001,,15,,7,,95,3000
348020,해양신도시,38113,창원시 마산합포구,구,507,0.494,33.49050974,1.270476759,5.059795882,7.962468828,7,1001,18,120,9,60,,238,3000
248B20,평성,38114,창원시 마산회원구,구,203,0.494,37.8441847,9.814582925,1.527504505,10.05714106,1,1001,4,32,1,9,,148,3000
248580,수곡,38114,창원시 마산회원구,구,203,0.494,41.21143421,12.11271786,1.671359998,13.42263127,1,1001,4,34,1,9,,138,3000
248B40,부림,38510,의령군,군,139,-0.327,52.16005596,40.23564104,12.1424475,37.62640206,,16,,3,,2,,181,7000
448330,정곡,38510,의령군,군,139,-0.327,39.41780079,31.23456656,9.300354501,32.45537355,,16,,,,,,262,7000
448320,부림,38510,의령군,군,139,-0.327,46.89770503,38.95478409,16.52316174,38.60791055,,16,,2,,2,,181,7000
248840,대의,38510,의령군,군,139,-0.327,30.50670961,47.16569509,15.89455656,50.61206012,,16,,2,,3,,154,7000
448300,동동,38510,의령군,군,139,-0.327,31.06341844,30.48757688,5.370311179,33.87856066,,16,,21,1,8,,301,7000
448310,봉수,38510,의령군,군,139,-0.327,46.84954567,39.79054061,17.46654292,39.51902365,,16,,2,,2,,174,7000
248870,정곡백곡,38510,의령군,군,139,-0.327,38.97779965,27.34044454,6.290718058,28.75281187,,16,,10,,3,,298,7000
